cultivo,plaga_enfermedad,comarca_nombre,comarca_zona,comarca_zona_id,fecha_aviso,nivel_aviso
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2015-05-20,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2015-05-20,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2015-05-20,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2015-05-13,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2015-05-13,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2015-05-13,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2015-05-06,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2015-05-06,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2015-05-06,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2015-04-29,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2015-04-29,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2015-04-29,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2015-04-22,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2015-04-22,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2015-04-22,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2015-04-08,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2015-04-08,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2015-04-08,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2014-08-20,SIN ALERTA
VIÑA,BOTRYTIS,ABONA,Zona media,2,2014-08-20,SIN ALERTA
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2014-08-20,SIN ALERTA
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2014-08-13,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2014-08-13,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2014-08-13,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2014-08-05,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2014-08-05,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2014-08-05,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2014-07-30,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2014-07-30,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2014-07-30,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2014-07-23,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2014-07-23,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2014-07-23,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2014-07-16,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2014-07-16,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2014-07-16,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2014-07-09,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2014-07-09,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2014-07-09,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2014-07-02,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2014-07-02,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2014-07-02,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2014-06-25,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2014-06-25,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2014-06-25,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2014-06-18,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2014-06-18,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2014-06-18,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2014-06-11,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2014-06-11,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2014-06-11,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2014-06-04,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2014-06-04,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2014-06-04,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2014-05-28,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2014-05-28,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2014-05-28,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2014-05-21,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2014-05-21,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2014-05-21,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2014-05-14,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2014-05-14,BAJO
